gene,ident,isoforms
Rtp4,Rtp4,
Isg15,Isg15,
Ifit3,Ifit3,
Ifit1,Ifit1,
Ccl5,Ccl5,
Ifi44,Ifi44,
Ifit1bl1,Ifit1bl1,
Ifi209,Ifi209,
Ifit1bl2,Ifit1bl2,
Ifi44l,Ifi44l,
Ifi47,Ifi47,
Ccl4,Ccl4,
Trim21,Trim21,
Mx2,Mx2,
Herc6,Herc6,
Ifnb1,Ifnb1,
Phf11a,Phf11a,
Sectm1b,Sectm1b,
Tgtp2,Tgtp2,
Pla2g2d,Pla2g2d,
Lrch1,Lrch1,
H2-M3,H2-M3,
Rsad2,Rsad2,
Irf7,Irf7,
Stat1,Stat1,
Irf9,Irf9,
Cxcl10,Cxcl10,
Oas3,Oas3,
Adgrg1,Adgrg1,
Rpl13a,Rpl13a,
Tuba1a,Tuba1a,
Hprt1,Hprt1,
